codaz;lat;lon;nord;est;hsize
246BG029/1;45,79929965;9,699182071;5072000;1554334;4
246BG030/1;45,80039226;9,714624401;5072132;1555533;6
246BG034/1;45,80911308;9,72616435;5073109;1556421;26
246BG036/1;45,80831662;9,719744859;5073016;1555923;4
246BG040/1;45,81445715;9,719399145;5073698;1555890;10
246BG041/1;45,80102457;9,712818076;5072201;1555392;12
246BG042/1;45,80283136;9,72036918;5072407;1555977;37
246BG047/1;45,80214816;9,723088474;5072333;1556189;4
246BG050/1;45,7864299;9,694582959;5070567;1553989;0
246BG051/1;45,78608604;9,65366908;5070502;1550809;5
246BG053/1;45,81373847;9,680957016;5073592;1552904;2
246BG054/2;45,801908;9,715480203;5072301;1555598;13
246BG058/1;45,79759104;9,635699173;5071769;1549402;0
246BG061/1;45,80259658;9,625680046;5072319;1548619;4
246BG071/1;45,79827337;9,647236169;5071852;1550298;3
246BG076/3;45,80189838;9,719881039;5072303;1555940;3
246BG080/5;45,79024085;9,644763136;5070958;1550113;1
246BG081/2;45,8028912;9,637522381;5072359;1549539;3
246BG082/1;45,79827321;9,658302183;5071859;1551158;2
246BG088/1;45,77654738;9,68711589;5069464;1553418;3
246BG090/1;45,78949446;9,66816964;5070890;1551933;2
246BG094/1;45,77714408;9,686673022;5069530;1553383;4
246BG100/1;45,77666237;9,687451726;5069477;1553444;2
246BG102/1;45,78137139;9,69313093;5070004;1553881;3
246BG104/2;45,78903236;9,671766418;5070841;1552213;3
246BG108/1;45,78391665;9,652138642;5070260;1550692;14
246BG109/1;45,7775889;9,676979998;5069573;1552629;4
246BG112/1;45,78850486;9,693785335;5070797;1553925;15
246BG113/1;45,80714887;9,661225053;5072847;1551377;1
246BG114/1;45,79224117;9,645969859;5071181;1550205;8
246BG117/1;45,78907027;9,657499207;5070836;1551104;0
246BG120/5;45,80675322;9,645403867;5072793;1550148;1
246BG122/1;45,80304933;9,638219086;5072377;1549593;9
246BG125/4;45,8041049;9,647380846;5072500;1550304;2
246BG126/1;45,80124739;9,698588742;5072216;1554286;2
246BG127/1;45,81181783;9,683057276;5073380;1553069;1
246BG128/2;45,81596189;9,680906863;5073839;1552898;0
246BG128/1;45,81596189;9,680906863;5073839;1552898;2
246BG137/3;45,79102636;9,68760241;5071073;1553442;2
246BG140/2;45,79159436;9,679915568;5071131;1552844;20
246BG144/1;45,78139235;9,692642373;5070006;1553843;1
246BG145/1;45,81486163;9,682785544;5073718;1553045;1
246BG155/5;45,80115977;9,63812032;5072167;1549587;5
246BG158/1;45,79901429;9,660897296;5071943;1551359;3
246BG160/1;45,78163949;9,690471476;5070032;1553674;8
246BG167/3;45,78122492;9,684574862;5069982;1553216;46
246BG177/2;45,78605477;9,65755384;5070501;1551111;2
246BG178/3;45,80280029;9,64411002;5072353;1550051;2
246BG179/1;45,77649122;9,68747535;5069458;1553446;2
246BG185/1;45,79839466;9,655961729;5071871;1550976;21
246BG185/3;45,79839466;9,655961729;5071871;1550976;2
246BG187/6;45,79849504;9,64623507;5071876;1550220;1
246BG191/2;45,7877547;9,66088012;5070692;1551368;3
246BG204/1;45,8066942;9,64309956;5072785;1549969;5
246BG206/5;45,80386245;9,67377184;5072490;1552355;0
246BG206/3;45,80386245;9,67377184;5072490;1552355;0
246BG206/4;45,80386245;9,67377184;5072490;1552355;1
246BG214/3;45,79758646;9,63652263;5071769;1549466;3
246BG232/1;45,80331533;9,69451996;5072525;1553971;3
246BG234/8;45,81673608;9,6808628;5074007;1552897;2
246BG236/1;45,78795833;9,68596704;5070813;1553321;28
246BG257/2;45,7853118;9,671800243;5070509;1552222;2
246BG259/1;45,80317733;9,646085056;5072478;1550207;1
247BG004/1;45,82743397;9,736663072;5075152;1557218;7
247BG007/1;45,83132153;9,741784086;5075669;1557614;12
247BG008/3;45,83240852;9,742269881;5075790;1557651;3
